Source,Target,Transfer Type,Classifier Type,Alpha,Epoch,Repeat,Accuracy,STD,Minimum Accuracy,Maximum Accuracy,Elapsed,Delete Rate
inceptionv3,reptiles,dense,Baseline,None,30,10,19.44,1.68,14.4,20.2,38.38,0.0
inceptionv3,reptiles,dense,tafe,0.0,30,10,19.86,0.42,18.6,20.0,37.29,4.54
inceptionv3,reptiles,dense,tafe,1e-45,30,10,42.86,4.81,34.8,49.2,5.43,96.04
inceptionv3,reptiles,dense,tafe,1e-25,30,10,41.56,1.95,38.6,45.0,3.86,97.71
inceptionv3,reptiles,dense,tafe,1e-15,30,10,40.12,3.93,35.4,49.4,3.91,98.58
inceptionv3,reptiles,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,1.54,99.9
vgg16,reptiles,dense,Baseline,None,30,10,20.0,0.0,20.0,20.0,24.11,0.0
vgg16,reptiles,dense,tafe,0.0,30,10,20.0,0.0,20.0,20.0,22.86,0.98
vgg16,reptiles,dense,tafe,1e-45,30,10,20.0,0.0,20.0,20.0,4.08,89.84
vgg16,reptiles,dense,tafe,1e-25,30,10,20.0,0.0,20.0,20.0,3.31,93.95
vgg16,reptiles,dense,tafe,1e-15,30,10,20.0,0.0,20.0,20.0,2.88,96.29
vgg16,reptiles,dense,tafe,1e-05,30,10,20.0,0.0,20.0,20.0,2.07,99.41
xception,reptiles,dense,Baseline,None,30,10,23.14,4.65,20.0,34.2,93.38,0.0
xception,reptiles,dense,tafe,0.0,30,10,21.46,2.16,20.0,26.6,82.01,0.39
xception,reptiles,dense,tafe,1e-45,30,10,24.72,8.84,12.0,44.2,64.92,37.21
xception,reptiles,dense,tafe,1e-25,30,10,25.86,8.64,20.0,44.0,58.64,46.34
xception,reptiles,dense,tafe,1e-15,30,10,27.4,7.64,20.0,42.2,63.94,55.13
xception,reptiles,dense,tafe,1e-05,30,10,24.3,6.54,19.0,38.8,30.94,76.07