Architecture,Alpha,Task 1,Task 2,Score
xception,0.05,dog,dog,96.04
inceptionv3,0.05,dog,dog,97.61
xception,0.05,dog,bird,55.47
inceptionv3,0.05,dog,bird,8.15
xception,0.05,dog,pet,71.34
inceptionv3,0.05,dog,pet,79.54
xception,0.05,dog,stl10,56.01
inceptionv3,0.05,dog,stl10,19.34
xception,0.05,dog,mit67,65.43
inceptionv3,0.05,dog,mit67,16.85
xception,0.05,dog,mnist,34.57
inceptionv3,0.05,dog,mnist,5.27
xception,0.05,bird,dog,54.79
inceptionv3,0.05,bird,dog,8.45
xception,0.05,bird,bird,89.89
inceptionv3,0.05,bird,bird,98.1
xception,0.05,bird,pet,58.25
inceptionv3,0.05,bird,pet,14.65
xception,0.05,bird,stl10,56.84
inceptionv3,0.05,bird,stl10,13.33
xception,0.05,bird,mit67,53.37
inceptionv3,0.05,bird,mit67,15.28
xception,0.05,bird,mnist,32.62
inceptionv3,0.05,bird,mnist,6.98
xception,0.05,pet,dog,74.71
inceptionv3,0.05,pet,dog,84.33
xception,0.05,pet,bird,60.79
inceptionv3,0.05,pet,bird,14.36
xception,0.05,pet,pet,91.55
inceptionv3,0.05,pet,pet,98.29
xception,0.05,pet,stl10,63.67
inceptionv3,0.05,pet,stl10,36.33
xception,0.05,pet,mit67,64.06
inceptionv3,0.05,pet,mit67,20.36
xception,0.05,pet,mnist,36.33
inceptionv3,0.05,pet,mnist,12.89
xception,0.05,stl10,dog,55.62
inceptionv3,0.05,stl10,dog,13.43
xception,0.05,stl10,bird,56.74
inceptionv3,0.05,stl10,bird,13.09
xception,0.05,stl10,pet,63.18
inceptionv3,0.05,stl10,pet,39.11
xception,0.05,stl10,stl10,89.65
inceptionv3,0.05,stl10,stl10,98.39
xception,0.05,stl10,mit67,54.0
inceptionv3,0.05,stl10,mit67,16.5
xception,0.05,stl10,mnist,34.03
inceptionv3,0.05,stl10,mnist,10.4
xception,0.05,mit67,dog,64.01
inceptionv3,0.05,mit67,dog,16.16
xception,0.05,mit67,bird,53.37
inceptionv3,0.05,mit67,bird,19.24
xception,0.05,mit67,pet,59.81
inceptionv3,0.05,mit67,pet,21.29
xception,0.05,mit67,stl10,53.27
inceptionv3,0.05,mit67,stl10,24.71
xception,0.05,mit67,mit67,94.38
inceptionv3,0.05,mit67,mit67,98.14
xception,0.05,mit67,mnist,34.67
inceptionv3,0.05,mit67,mnist,12.06
xception,0.05,mnist,dog,34.18
inceptionv3,0.05,mnist,dog,4.83
xception,0.05,mnist,bird,32.32
inceptionv3,0.05,mnist,bird,6.88
xception,0.05,mnist,pet,35.4
inceptionv3,0.05,mnist,pet,10.69
xception,0.05,mnist,stl10,33.74
inceptionv3,0.05,mnist,stl10,10.64
xception,0.05,mnist,mit67,34.96
inceptionv3,0.05,mnist,mit67,12.06
xception,0.05,mnist,mnist,77.1
inceptionv3,0.05,mnist,mnist,97.95
xception,0.01,dog,dog,98.1
inceptionv3,0.01,dog,dog,99.51
xception,0.01,dog,bird,62.35
inceptionv3,0.01,dog,bird,12.21
xception,0.01,dog,pet,78.52
inceptionv3,0.01,dog,pet,88.72
xception,0.01,dog,stl10,63.57
inceptionv3,0.01,dog,stl10,28.22
xception,0.01,dog,mit67,73.29
inceptionv3,0.01,dog,mit67,22.51
xception,0.01,dog,mnist,40.09
inceptionv3,0.01,dog,mnist,9.62
xception,0.01,bird,dog,60.99
inceptionv3,0.01,bird,dog,12.3
xception,0.01,bird,bird,93.07
inceptionv3,0.01,bird,bird,99.8
xception,0.01,bird,pet,65.97
inceptionv3,0.01,bird,pet,19.97
xception,0.01,bird,stl10,64.06
inceptionv3,0.01,bird,stl10,18.36
xception,0.01,bird,mit67,60.79
inceptionv3,0.01,bird,mit67,25.54
xception,0.01,bird,mnist,38.09
inceptionv3,0.01,bird,mnist,11.18
xception,0.01,pet,dog,82.42
inceptionv3,0.01,pet,dog,93.6
xception,0.01,pet,bird,68.99
inceptionv3,0.01,pet,bird,19.14
xception,0.01,pet,pet,93.46
inceptionv3,0.01,pet,pet,99.61
xception,0.01,pet,stl10,71.68
inceptionv3,0.01,pet,stl10,47.12
xception,0.01,pet,mit67,72.71
inceptionv3,0.01,pet,mit67,27.54
xception,0.01,pet,mnist,42.14
inceptionv3,0.01,pet,mnist,20.17
xception,0.01,stl10,dog,62.74
inceptionv3,0.01,stl10,dog,22.41
xception,0.01,stl10,bird,65.48
inceptionv3,0.01,stl10,bird,18.55
xception,0.01,stl10,pet,71.48
inceptionv3,0.01,stl10,pet,52.73
xception,0.01,stl10,stl10,91.31
inceptionv3,0.01,stl10,stl10,99.9
xception,0.01,stl10,mit67,61.43
inceptionv3,0.01,stl10,mit67,25.39
xception,0.01,stl10,mnist,39.45
inceptionv3,0.01,stl10,mnist,17.14
xception,0.01,mit67,dog,73.24
inceptionv3,0.01,mit67,dog,20.36
xception,0.01,mit67,bird,61.33
inceptionv3,0.01,mit67,bird,28.37
xception,0.01,mit67,pet,68.75
inceptionv3,0.01,mit67,pet,31.05
xception,0.01,mit67,stl10,60.25
inceptionv3,0.01,mit67,stl10,33.25
xception,0.01,mit67,mit67,97.61
inceptionv3,0.01,mit67,mit67,99.66
xception,0.01,mit67,mnist,41.11
inceptionv3,0.01,mit67,mnist,19.73
xception,0.01,mnist,dog,40.38
inceptionv3,0.01,mnist,dog,7.52
xception,0.01,mnist,bird,38.43
inceptionv3,0.01,mnist,bird,11.33
xception,0.01,mnist,pet,41.65
inceptionv3,0.01,mnist,pet,18.41
xception,0.01,mnist,stl10,39.89
inceptionv3,0.01,mnist,stl10,18.6
xception,0.01,mnist,mit67,41.16
inceptionv3,0.01,mnist,mit67,18.26
xception,0.01,mnist,mnist,78.86
inceptionv3,0.01,mnist,mnist,99.71
